id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
64264,pockethub/pockethub,FALSE,3512,5,1,3536,Java,master,Apache License 2.0,,926,9409,110,11945,2011-09-08T04:52:50,2023-06-06T08:03:11,2023-06-13T11:01:57,660,123,630,2,5375,31518,9316,"[{""codeLines"":64,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":24},{""codeLines"":9727,""commentLines"":5210,""language"":""Java"",""blankLines"":2452},{""codeLines"":9372,""commentLines"":1798,""language"":""Kotlin"",""blankLines"":1778},{""codeLines"":20,""commentLines"":0,""language"":""YAML"",""blankLines"":5},{""codeLines"":823,""commentLines"":0,""language"":""CSS"",""blankLines"":173},{""codeLines"":15,""commentLines"":0,""language"":""HTML"",""blankLines"":0},{""codeLines"":73,""commentLines"":0,""language"":""Markdown"",""blankLines"":41},{""codeLines"":222,""commentLines"":5,""language"":""Gradle"",""blankLines"":53},{""codeLines"":123,""commentLines"":21,""language"":""Bourne Again Shell"",""blankLines"":20},{""codeLines"":9475,""commentLines"":2262,""language"":""XML"",""blankLines"":816},{""codeLines"":1604,""commentLines"":18,""language"":""JavaScript"",""blankLines"":13}]",2020-04-11T02:16:07,8228cb8f7197a7c2227e67ee48a2c8dc843fb553,TRUE,FALSE,FALSE,FALSE,"{""Java"":544208,""Kotlin"":452503,""CSS"":14483,""JavaScript"":2333,""HTML"":540}",bug;design;discussion;feature;help wanted;material;needs more info;priority;won't fix;won't merge,
84022,nostra13/android-universal-image-loader,FALSE,1039,3,0,6105,Java,master,Apache License 2.0,,1324,16785,35,27133,2011-11-27T06:48:23,2024-08-15T11:03:23,2024-08-15T12:31:29,1228,454,153,4,1585,8288,5310,"[{""codeLines"":18,""commentLines"":0,""language"":""YAML"",""blankLines"":1},{""codeLines"":28,""commentLines"":19,""language"":""Properties"",""blankLines"":5},{""codeLines"":123,""commentLines"":21,""language"":""Bourne Again Shell"",""blankLines"":20},{""codeLines"":191,""commentLines"":18,""language"":""Gradle"",""blankLines"":38},{""codeLines"":7237,""commentLines"":5246,""language"":""Java"",""blankLines"":1417},{""codeLines"":343,""commentLines"":0,""language"":""Markdown"",""blankLines"":42},{""codeLines"":64,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":24},{""codeLines"":284,""commentLines"":4,""language"":""XML"",""blankLines"":38}]",2024-05-17T12:25:36,ba33ec64d0daaa881d35852460e78c58d086bc18,TRUE,FALSE,FALSE,FALSE,"{""Java"":348510}",bug;feature;improvement;problem;question,
95419,mrniko/netty-socketio,FALSE,1084,2,18,1668,Java,master,Apache License 2.0,,393,6883,51,2224,2012-01-12T11:43:49,2025-02-11T12:14:39,2025-02-12T02:38:21,845,403,180,24,1969,8041,2895,"[{""codeLines"":139,""commentLines"":110,""language"":""XML"",""blankLines"":39},{""codeLines"":416,""commentLines"":28,""language"":""Maven"",""blankLines"":29},{""codeLines"":44,""commentLines"":0,""language"":""YAML"",""blankLines"":8},{""codeLines"":281,""commentLines"":0,""language"":""Markdown"",""blankLines"":81},{""codeLines"":6982,""commentLines"":2757,""language"":""Java"",""blankLines"":1776},{""codeLines"":179,""commentLines"":0,""language"":""Text"",""blankLines"":36}]",2025-02-11T12:14:39,4146ad188addb42861f1756528c362be39133a65,TRUE,FALSE,FALSE,FALSE,"{""Java"":389933}",bug;dependencies;feature;improvement;major bug;optimization;question;refactoring,java;netty;polling;socket-io;websocket
648062,cjlin1/libsvm,FALSE,1108,1,0,1633,Java,master,BSD 3-Clause New or Revised License,https://www.csie.ntu.edu.tw/~cjlin/libsvm/,295,4538,32,9765,2013-09-10T02:32:07,2024-08-31T10:32:54,2024-08-31T10:32:58,152,79,67,28,2054,15834,751,"[{""codeLines"":2647,""commentLines"":0,""language"":""M4"",""blankLines"":325},{""codeLines"":18,""commentLines"":4,""language"":""MATLAB"",""blankLines"":0},{""codeLines"":3609,""commentLines"":161,""language"":""C++"",""blankLines"":461},{""codeLines"":2222,""commentLines"":83,""language"":""C"",""blankLines"":324},{""codeLines"":21,""commentLines"":0,""language"":""Windows Module Definition"",""blankLines"":0},{""codeLines"":3770,""commentLines"":166,""language"":""Java"",""blankLines"":479},{""codeLines"":79,""commentLines"":8,""language"":""C/C++ Header"",""blankLines"":20},{""codeLines"":33,""commentLines"":4,""language"":""YAML"",""blankLines"":7},{""codeLines"":1354,""commentLines"":201,""language"":""Python"",""blankLines"":271},{""codeLines"":78,""commentLines"":12,""language"":""make"",""blankLines"":26},{""codeLines"":2003,""commentLines"":112,""language"":""HTML"",""blankLines"":141}]",2024-08-30T07:24:08,35e55962f7f03ce425bada0e6b9db79193e947f8,TRUE,FALSE,FALSE,FALSE,"{""Java"":104899,""C++"":90173,""HTML"":86362,""M4"":66923,""Python"":64137,""C"":64076,""Makefile"":3215,""MATLAB"":780}",bug;duplicate;enhancement;invalid;question;wontfix,
1010021,syncthing/syncthing-android,FALSE,2506,7,332,410,Java,main,Mozilla Public License 2.0,https://syncthing.net/,110,3627,95,23375,2014-02-22T05:15:19,2024-12-03T09:13:47,2024-12-04T01:57:35,1398,152,682,7,2516,25608,7082,"[{""codeLines"":145,""commentLines"":2,""language"":""SVG"",""blankLines"":1},{""codeLines"":266,""commentLines"":0,""language"":""Text"",""blankLines"":189},{""codeLines"":101,""commentLines"":5,""language"":""Python"",""blankLines"":20},{""codeLines"":8,""commentLines"":0,""language"":""Properties"",""blankLines"":0},{""codeLines"":113,""commentLines"":3,""language"":""Bourne Again Shell"",""blankLines"":26},{""codeLines"":152,""commentLines"":14,""language"":""Gradle"",""blankLines"":24},{""codeLines"":15243,""commentLines"":5611,""language"":""XML"",""blankLines"":613},{""codeLines"":26,""commentLines"":15,""language"":""Dockerfile"",""blankLines"":15},{""codeLines"":9010,""commentLines"":1386,""language"":""Java"",""blankLines"":1504},{""codeLines"":74,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":24},{""codeLines"":148,""commentLines"":0,""language"":""Markdown"",""blankLines"":54},{""codeLines"":140,""commentLines"":37,""language"":""Bourne Shell"",""blankLines"":24},{""codeLines"":182,""commentLines"":7,""language"":""YAML"",""blankLines"":22}]",2024-12-03T09:13:06,64d2b8e362d45988dfc21dda3b0b494d7e8bb2c1,TRUE,TRUE,FALSE,FALSE,"{""Java"":458104,""Shell"":3869,""Python"":3865,""Dockerfile"":1952}",android-restriction;bug;build;dependencies;discussion;duplicate;easy;enhancement;frozen-due-to-age;help-wanted;invalid;migration;needs-triage;pr-welcome;question;root;ui;unreleased;upstream;urgent;wontfix,android;java;p2p;peer-to-peer;synchronization
2820603,mybatis/spring-boot-starter,FALSE,1631,9,31,1791,Java,master,Apache License 2.0,,220,4185,33,15307,2015-09-25T01:05:15,2025-02-17T06:05:47,2025-02-18T07:39:16,416,18,632,1,2233,9196,4374,"[{""codeLines"":5417,""commentLines"":3014,""language"":""Java"",""blankLines"":1388},{""codeLines"":21,""commentLines"":1,""language"":""Velocity Template Language"",""blankLines"":0},{""codeLines"":89,""commentLines"":105,""language"":""Kotlin"",""blankLines"":27},{""codeLines"":12,""commentLines"":24,""language"":""Freemarker Template"",""blankLines"":10},{""codeLines"":266,""commentLines"":257,""language"":""XML"",""blankLines"":120},{""codeLines"":75,""commentLines"":0,""language"":""JSON"",""blankLines"":0},{""codeLines"":45,""commentLines"":181,""language"":""Properties"",""blankLines"":19},{""codeLines"":170,""commentLines"":0,""language"":""DOS Batch"",""blankLines"":36},{""codeLines"":228,""commentLines"":192,""language"":""Groovy"",""blankLines"":71},{""codeLines"":12,""commentLines"":44,""language"":""CSS"",""blankLines"":2},{""codeLines"":285,""commentLines"":78,""language"":""Bourne Shell"",""blankLines"":37},{""codeLines"":1060,""commentLines"":0,""language"":""Markdown"",""blankLines"":365},{""codeLines"":1241,""commentLines"":228,""language"":""Maven"",""blankLines"":110},{""codeLines"":244,""commentLines"":83,""language"":""YAML"",""blankLines"":31},{""codeLines"":31,""commentLines"":167,""language"":""SQL"",""blankLines"":17}]",2025-02-17T06:05:11,d16217106138989f0d923a30239f3c39241666ff,TRUE,FALSE,FALSE,FALSE,"{""Java"":356359,""Groovy"":15371,""CSS"":13020,""Kotlin"":7465,""FreeMarker"":2221,""Shell"":2205}",backport to other version;bug;bug on dependency library;degradation;dependencies;documentation;done backported;duplicate;enhancement;github_actions;help wanted;invalid;no backward compatibility;polishing;question;sample;waiting-feedback;wontfix,java;mybatis;spring-boot
2848712,react-native-share/react-native-share,FALSE,1131,6,133,962,Java,main,MIT License,https://react-native-share.github.io/react-native-share,60,3737,213,13207,2015-09-30T02:27:34,2025-02-16T08:23:08,2025-02-16T08:23:12,1092,12,547,1,1511,8054,801,"[{""codeLines"":1006,""commentLines"":12,""language"":""Markdown"",""blankLines"":323},{""codeLines"":143,""commentLines"":64,""language"":""Gradle"",""blankLines"":21},{""codeLines"":259,""commentLines"":117,""language"":""C/C++ Header"",""blankLines"":68},{""codeLines"":252,""commentLines"":2,""language"":""YAML"",""blankLines"":36},{""codeLines"":15,""commentLines"":0,""language"":""C++"",""blankLines"":5},{""codeLines"":13,""commentLines"":28,""language"":""Properties"",""blankLines"":9},{""codeLines"":607,""commentLines"":35,""language"":""XML"",""blankLines"":19},{""codeLines"":792,""commentLines"":49,""language"":""JavaScript"",""blankLines"":61},{""codeLines"":9,""commentLines"":0,""language"":""IDL"",""blankLines"":0},{""codeLines"":19,""commentLines"":0,""language"":""Ruby"",""blankLines"":6},{""codeLines"":3,""commentLines"":0,""language"":""Windows Module Definition"",""blankLines"":0},{""codeLines"":346,""commentLines"":0,""language"":""JSON"",""blankLines"":7},{""codeLines"":69,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":21},{""codeLines"":0,""commentLines"":9,""language"":""ProGuard"",""blankLines"":1},{""codeLines"":2123,""commentLines"":202,""language"":""Java"",""blankLines"":456},{""codeLines"":1154,""commentLines"":114,""language"":""Objective-C"",""blankLines"":301},{""codeLines"":347,""commentLines"":16,""language"":""Objective-C++"",""blankLines"":54},{""codeLines"":67,""commentLines"":20,""language"":""CSS"",""blankLines"":14},{""codeLines"":550,""commentLines"":7,""language"":""TypeScript"",""blankLines"":78},{""codeLines"":5,""commentLines"":7,""language"":""Diff"",""blankLines"":1},{""codeLines"":16,""commentLines"":1,""language"":""Starlark"",""blankLines"":2},{""codeLines"":102,""commentLines"":115,""language"":""Bourne Shell"",""blankLines"":27},{""codeLines"":154,""commentLines"":1,""language"":""Visual Studio Solution"",""blankLines"":1},{""codeLines"":3,""commentLines"":0,""language"":""SVG"",""blankLines"":0}]",2025-02-16T08:23:07,ae06c6af4ff25b2144c3ee41fb791df441a0c354,TRUE,FALSE,FALSE,FALSE,"{""Java"":95591,""Objective-C"":68015,""MDX"":46119,""JavaScript"":25257,""TypeScript"":17432,""Objective-C++"":15521,""C#"":6271,""C++"":4355,""Ruby"":3222,""CSS"":1935,""Starlark"":602}",base64;bug;catalyst;ci;dependencies;discussion;docs;duplicate;enhancement;expo;facebook;feature request;first seen issue;flow;good first issue;gradle;help wanted;idea;instagram;invalid;javascript;missing template;needs more info;needs-more-info;new-rn-architeture;old version :previous_track_button:;os: android;os: ios;question;released;ruby;stale;telegram;testing;threads;twitter;typescript;whatsapp;wontfix,android;bridge;intent;ios;react;react-native;share;uwp
3017040,widdix/aws-cf-templates,FALSE,1036,5,162,1381,Java,master,Apache License 2.0,https://templates.cloudonaut.io/,118,2742,38,12918,2015-10-28T07:47:59,2024-07-23T11:09:35,2024-07-23T01:50:12,190,14,553,9,998,37538,1033,"[{""codeLines"":111,""commentLines"":0,""language"":""Maven"",""blankLines"":6},{""codeLines"":3691,""commentLines"":74,""language"":""Java"",""blankLines"":325},{""codeLines"":1759,""commentLines"":0,""language"":""Markdown"",""blankLines"":646},{""codeLines"":10,""commentLines"":3,""language"":""Python"",""blankLines"":2},{""codeLines"":31921,""commentLines"":953,""language"":""YAML"",""blankLines"":14},{""codeLines"":45,""commentLines"":3,""language"":""JavaScript"",""blankLines"":5},{""codeLines"":1,""commentLines"":0,""language"":""Text"",""blankLines"":0}]",2024-07-23T11:09:32,07addfc27010a7b0daa2d801be9972d8d5dd9820,TRUE,FALSE,FALSE,FALSE,"{""Java"":200478,""JavaScript"":2636,""Python"":435}",breaking change;bug;duplicate;enhancement;feature request;feedback requested;non issue;question;template request;work in progress,amazon-web-services;aws;aws-cloudformation;cloudformation;cloudformation-template;cloudformation-templates;cloudformation-yaml;infrastructure
3055589,xuxueli/xxl-job,FALSE,1845,18,36,11078,Java,master,GNU General Public License v3.0,http://www.xuxueli.com/xxl-job/,951,28289,65,37369,2015-11-28T12:59:34,2025-02-16T07:32:07,2025-02-17T01:16:18,3132,649,517,173,5612,39336,5361,"[{""codeLines"":1625,""commentLines"":56,""language"":""Freemarker Template"",""blankLines"":165},{""codeLines"":832,""commentLines"":48,""language"":""XML"",""blankLines"":103},{""codeLines"":16487,""commentLines"":2035,""language"":""JavaScript"",""blankLines"":2156},{""codeLines"":29,""commentLines"":1,""language"":""YAML"",""blankLines"":5},{""codeLines"":3902,""commentLines"":14,""language"":""Markdown"",""blankLines"":698},{""codeLines"":14,""commentLines"":1,""language"":""Dockerfile"",""blankLines"":9},{""codeLines"":5186,""commentLines"":3,""language"":""SVG"",""blankLines"":0},{""codeLines"":138,""commentLines"":0,""language"":""SQL"",""blankLines"":18},{""codeLines"":9223,""commentLines"":3027,""language"":""Java"",""blankLines"":2291},{""codeLines"":373,""commentLines"":52,""language"":""Maven"",""blankLines"":52},{""codeLines"":711,""commentLines"":52,""language"":""CSS"",""blankLines"":59},{""codeLines"":816,""commentLines"":72,""language"":""Properties"",""blankLines"":56}]",2025-02-16T06:56:20,61c1ba3311cc24eaa569ac0a974782b65cb4760c,TRUE,FALSE,FALSE,FALSE,"{""Java"":779500,""Dockerfile"":555}",bug;duplicate;enhancement;experience sharing;help wanted/suggest;invalid;question;wontfix,cron;distributed;glue;java;job;quartz;restful;schedule;scheduler;task;xxl-job
3267632,andotp/andotp,FALSE,1441,4,38,323,Java,master,MIT License,,94,3598,63,13870,2017-07-05T11:39:52,2022-06-14T05:44:55,2022-06-16T03:31:32,781,182,209,22,3063,39110,2273,"[{""codeLines"":28083,""commentLines"":966,""language"":""XML"",""blankLines"":699},{""codeLines"":121,""commentLines"":20,""language"":""Bourne Again Shell"",""blankLines"":19},{""codeLines"":92,""commentLines"":6,""language"":""Gradle"",""blankLines"":12},{""codeLines"":8951,""commentLines"":1259,""language"":""Java"",""blankLines"":2175},{""codeLines"":1292,""commentLines"":5,""language"":""SVG"",""blankLines"":5},{""codeLines"":64,""commentLines"":2,""language"":""DOS Batch"",""blankLines"":24},{""codeLines"":0,""commentLines"":15,""language"":""ProGuard"",""blankLines"":2},{""codeLines"":18,""commentLines"":0,""language"":""YAML"",""blankLines"":7},{""codeLines"":489,""commentLines"":0,""language"":""Markdown"",""blankLines"":120}]",2022-06-14T05:44:42,6c54b8811f950375c774b2eefebcf1f9fa13d433,TRUE,TRUE,FALSE,FALSE,"{""Java"":485652}",bitmap;bug;duplicate;enhancement;good first issue;gradient;help wanted;information;invalid;keystore;maybe;more information required;new issue;new logo;password / pin;possible duplicate;pr-pending;question;security;thumbnail;update-required;upstream;vector missing;wip;wontfix,
